,id,book_id,profile_id,created_at,updated_at,text,star_rating_id,status,Clean_Text,compound,Sentiment,Book
0,2769589,120945,378084,2/2/2019 17:14:44,2/2/2019 17:14:44,intriguing read wouldn that agreed with Ehrenreich conclusions however always think important explore various approaches thoughts regarding health would that arguments actually strengthened opinions against conclusions makes Natural Causes will some point believe preventative healthcare important necessary Overall disappointed found myself skimming several portions have heard great things from previous work however this strange almost conspiracist tone argument argument sake,2913265,public,intriguing read ehrenreich conclusion important various approach thought health argument opinion conclusion natural cause point preventative healthcare important necessary disappointed several portion great thing previous work strange conspiracist tone argument argument sake,-0.296,Negative,Natural Causes
1,2758642,120945,13135,28/1/2019 16:24:14,28/1/2019 16:24:14,recent craving comfort food that fresh fruits vegetables category thinking about laws happy healthy their They managed achieve their longevity without having deep dived into current regimens advocated medicinal health wellness industries Rather they lived balanced lives according adage everything moderation Unnatural Causes considers similar approach living into older author chronicles thoughts experiences decisions regarding dictates current health industry concludes that most beneficial approach just simply take care yourself that makes sense physically mentally emotionally that well older necessarily live longer entirely possible that living longer just bonus living well,2902323,public,recent craving comfort food fresh fruit vegetable category thinking law happy healthy longevity deep current regimen medicinal health wellness industry balanced life adage everything moderation unnatural similar approach old author chronicle thought decision current health industry beneficial approach care sense old possible long bonus,0.9709,Positive,Natural Causes
2,2691410,120945,498462,23/12/2018 09:56:58,23/12/2018 09:56:58,huge Barbara Ehrenreich when written wanted read topics health wellness also interested loved Being Mortal think health care system whole could major overhaul wasn completely wowed this thought made some excellent points never thought about much what considered regular health care annual physicals appointments more rituals than actual fact finding missions also made more wary health screenings that supposed certain ages will think twice about letting dentist take rays head next time dentist when there just teeth cleaning Overall worthwhile read skim over parts that lost interest will still read whatever Barbara Ehrenreich writes because think always takes worthwhile topics delivers interesting perspectives Thanks NetGalley publisher digital exchange this honest review,2835159,public,huge barbara ehrenreich topic health wellness mortal health care system whole major overhaul thought excellent point regular health care annual physical appointment ritual actual fact mission wary health screening certain age dentist ray next time dentist tooth overall worthwhile read skim part interest whatev ehrenreich worthwhile topic interesting perspective thank netgalley publisher digital exchange honest review,0.9844,Positive,Natural Causes
3,2643779,120945,222960,21/11/2018 10:35:51,21/11/2018 10:35:51,Natural Causes discusses things order delay inevitable death truly fascinating read that brought things that hadn really thought about before such what appears transition worshiping self over deity This definitely that will make think examine world around just little closer There were chapters that found drag whole worth look,2787540,public,natural cause thing delay inevitable death fascinating read thing transition self deity world little close there chapter whole worth look,0.1779,Positive,Natural Causes
4,2638800,120945,391564,18/11/2018 13:29:38,18/11/2018 13:29:38,found first chapters this most interesting with their discussion modern medicine emphasizes battery wellness tests need that actually increase patient anxiety This with Nickled Dimed still makes interesting read,2782563,public,first chapter interesting discussion modern medicine battery wellness test patient anxiety interesting read,0.765,Positive,Natural Causes
5,2634436,120945,505599,15/11/2018 14:09:48,15/11/2018 14:09:48,Natural Causes very disappointing expecting evidence based review wellness trends what nothing conjecture Basically this read like stereotypical person rant evidence used well designed scientific studies articles from various magazines newspapers arguments presented this left guessing author came conclusions would recommend this anyone Thanks Twelve Books Netgalley,2778200,public,natural cause evidence review wellness nothing conjecture stereotypical person rant evidence scientific study article various magazine newspaper argument left author conclusion anyone thank book netgalley,0.4588,Positive,Natural Causes
6,2625339,120945,514648,10/11/2018 13:14:27,10/11/2018 13:14:27,Author dissects concept healthy ageing loopholes healthy stuff delay death Author touches deep topics like screening tests gyms medical gadgets dieting yoga life support fads around world ends somehow supporting carefree lifestyle poking much into your body feel grossly well Also underlines that have very less control body cells Book also explores autonomy cells very complex deep even doctor biology student Deep exploration makes heavy breadth comforting reader learns perspective generation hopes starving will make their life longer surely going better Nice read expect tough pages between,2769120,public,author dissect healthy loophole healthy stuff delay death author deep topic test gym medical gadget yoga life support fad world carefree lifestyle much body less control body cell book autonomy cell complex doctor biology student deep exploration heavy breadth comforting reader perspective generation life nice tough page,0.886,Positive,Natural Causes
7,2612332,120945,365256,3/11/2018 11:33:38,3/11/2018 11:33:38,Natural Causes Barbara Ehrenreich huge letdown really looking forward reading this huge nonfiction this seemed right alley however from full anecdotal evidence self contradictions Going from chapter chapter author contradicts veiewpoints offers evidence that refutes points What support does have comes from anecdotes poorly drawn conclusions would read this with very critical read,2756117,public,natural cause ehrenreich huge letdown huge nonfiction right alley full anecdotal evidence self contradiction chapter chapter author veiewpoint evidence point what support anecdote conclusion critical read,0.6705,Positive,Natural Causes
8,2595213,120945,518835,24/10/2018 11:18:46,24/10/2018 11:18:46,loved parts this facts discussions critiques Ehrenreich brings some very valid points about preventative medicine health trends habits just about anything related being aware health longevity especially appreciated commentary lack respect personal boundaries when doctor care What prevented from truly enjoying this disconnectedness Very many good points were made they weren tied together they didn lead concise conclusions Sometimes chapters seemed jump from topic another without being clear this relevant would have preferred more coherent whole,2739076,public,part fact discussion ehrenreich valid point preventative medicine health trend habit anything aware health longevity commentary lack respect personal boundary doctor what disconnectedness many good point concise conclusion chapter jump topic clear relevant coherent whole,0.743,Positive,Natural Causes
9,2326466,120945,24427,5/6/2018 13:55:26,12/10/2018 13:37:14,Thank opportunity review Natural Causes Barbara Ehrenreich intrigued subject matter health care called preventative measures keep people physically alive much else author claim that enough that wants will seek death that refuses have preventative scans medical tests just because there might something found prodded medical profession heartily agree with Ehrenreich Unfortunately this might have been better served remaining substantial article seemed like great deal padding added make into,2470857,hidden,opportunity review natural cause ehrenreich subject matter health care preventative measure people alive much else author claim death preventative scan medical test something medical profession ehrenreich substantial article great deal padding,0.9042,Positive,Natural Causes
